Time,Amount
1956.92,-0.08
1957,-0.11
1957.08,-0.04
1957.17,-0.06
1957.25,-0.01
1957.33,0.09
1957.42,0.16
1957.5,0.01
1957.58,0.15
1957.67,0.09
1957.75,0.01
1957.83,0.06
1957.92,0.16
1958,0.39
1958.08,0.24
1958.17,0.11
1958.25,0.03
1958.33,0.07
1958.42,-0.07
1958.5,0.05
1958.58,-0.03
1958.67,-0.02
1958.75,0.04
1958.83,0.02
1958.92,0
1959,0.08
1959.08,0.09
1959.17,0.18
1959.25,0.13
1959.33,0.04
1959.42,0.02
1959.5,0.06
1959.58,-0.01
1959.67,-0.06
1959.75,-0.09
1959.83,-0.09
1959.92,-0.01
1960,-0.01
1960.08,0.16
1960.17,-0.34
1960.25,-0.14
1960.33,-0.07
1960.42,-0.04
1960.5,-0.03
1960.58,0.01
1960.67,0.07
1960.75,0.07
1960.83,-0.12
1960.92,0.18
1961,0.07
1961.08,0.19
1961.17,0.09
1961.25,0.12
1961.33,0.11
1961.42,0.11
1961.5,0
1961.58,0.03
1961.67,0.07
1961.75,0
1961.83,0.03
1961.92,-0.15
1962,0.07
1962.08,0.14
1962.17,0.12
1962.25,0.04
1962.33,-0.04
1962.42,0.04
1962.5,0.02
1962.58,-0.01
1962.67,0.01
1962.75,0
1962.83,0.07
1962.92,0
1963,-0.02
1963.08,0.2
1963.17,-0.14
1963.25,-0.06
1963.33,-0.04
1963.42,0.05
1963.5,0.08
1963.58,0.27
1963.67,0.2
1963.75,0.15
1963.83,0.15
1963.92,-0.01
1964,-0.08
1964.08,-0.13
1964.17,-0.23
1964.25,-0.31
1964.33,-0.25
1964.42,-0.02
1964.5,-0.03
1964.58,-0.21
1964.67,-0.29
1964.75,-0.31
1964.83,-0.21
1964.92,-0.3
1965,-0.08
1965.08,-0.17
1965.17,-0.11
1965.25,-0.19
1965.33,-0.14
1965.42,-0.09
1965.5,-0.12
1965.58,-0.03
1965.67,-0.16
1965.75,-0.05
1965.83,-0.07
1965.92,-0.06
1966,-0.17
1966.08,-0.01
1966.17,0.05
1966.25,-0.12
1966.33,-0.11
1966.42,0.01
1966.5,0.09
1966.58,-0.08
1966.67,-0.02
1966.75,-0.15
1966.83,-0.02
1966.92,-0.06
1967,-0.06
1967.08,-0.21
1967.17,0.04
1967.25,-0.05
1967.33,0.14
1967.42,-0.08
1967.5,0.01
1967.58,0.01
1967.67,-0.06
1967.75,0.08
1967.83,-0.07
1967.92,-0.03
1968,-0.25
1968.08,-0.15
1968.17,0.2
1968.25,-0.06
1968.33,-0.13
1968.42,-0.08
1968.5,-0.12
1968.58,-0.09
1968.67,-0.18
1968.75,0.1
1968.83,-0.03
1968.92,-0.13
1969,-0.11
1969.08,-0.14
1969.17,0.01
1969.25,0.18
1969.33,0.19
1969.42,0.05
1969.5,-0.02
1969.58,0.03
1969.67,0.09
1969.75,0.13
1969.83,0.13
1969.92,0.27
1970,0.09
1970.08,0.22
1970.17,0.08
1970.25,0.09
1970.33,-0.04
1970.42,-0.02
1970.5,-0.02
1970.58,-0.09
1970.67,0.11
1970.75,0.06
1970.83,0.02
1970.92,-0.12
1971,-0.02
1971.08,-0.2
1971.17,-0.17
1971.25,-0.08
1971.33,-0.05
1971.42,-0.19
1971.5,-0.11
1971.58,-0.03
1971.67,-0.04
1971.75,-0.06
1971.83,-0.05
1971.92,-0.09
1972,-0.24
1972.08,-0.17
1972.17,0.02
1972.25,0
1972.33,-0.04
1972.42,0.06
1972.5,0.01
1972.58,0.17
1972.67,0.02
1972.75,0.09
1972.83,0.04
1972.92,0.2
1973,0.29
1973.08,0.31
1973.17,0.27
1973.25,0.26
1973.33,0.26
1973.42,0.18
1973.5,0.1
1973.58,0.03
1973.67,0.1
1973.75,0.14
1973.83,0.06
1973.92,-0.06
1974,-0.15
1974.08,-0.28
1974.17,-0.05
1974.25,-0.11
1974.33,-0.02
1974.42,-0.06
1974.5,-0.04
1974.58,0.11
1974.67,-0.11
1974.75,-0.08
1974.83,-0.07
1974.92,-0.09
1975,0.07
1975.08,0.07
1975.17,0.13
1975.25,0.05
1975.33,0.16
1975.42,0.01
1975.5,-0.01
1975.58,-0.19
1975.67,-0.03
1975.75,-0.09
1975.83,-0.16
1975.92,-0.17
1976,-0.01
1976.08,-0.06
1976.17,-0.21
1976.25,-0.08
1976.33,-0.24
1976.42,-0.16
1976.5,-0.1
1976.58,-0.14
1976.67,-0.09
1976.75,-0.26
1976.83,-0.04
1976.92,0.1
1977,0.19
1977.08,0.22
1977.17,0.25
1977.25,0.28
1977.33,0.3
1977.42,0.24
1977.5,0.2
1977.58,0.16
1977.67,0
1977.75,0.02
1977.83,0.17
1977.92,0.02
1978,0.06
1978.08,0.14
1978.17,0.21
1978.25,0.15
1978.33,0.06
1978.42,-0.02
1978.5,0.03
1978.58,-0.17
1978.67,0.05
1978.75,0
1978.83,0.16
1978.92,0.1
1979,0.12
1979.08,-0.11
1979.17,0.18
1979.25,0.13
1979.33,0.05
1979.42,0.13
1979.5,0.02
1979.58,0.14
1979.67,0.25
1979.75,0.24
1979.83,0.28
1979.92,0.47
1980,0.3
1980.08,0.42
1980.17,0.3
1980.25,0.33
1980.33,0.36
1980.42,0.17
1980.5,0.28
1980.58,0.23
1980.67,0.19
1980.75,0.18
1980.83,0.29
1980.92,0.2
1981,0.55
1981.08,0.41
